Town,SB%Transformed,PropTar(3,Latitude,Longitude,Altitude,Rainfall,MaxSummer,MaxWinter,MinSummer,MinWinter,EvapVal,Aridity,SoilGroup,SAGeol,VegMapBiome
Vanwyksvlei,0,Low,-30.3513889,21.8241667,967,152.4731212,32,23,15,1,2600,AridZone,Cambisols,Ecca,Nama-Karoo
Venterstad,5.693047246,Low,-30.775265,25.79693125,1294,437.5113714,28,21,13.5,-1,1800,SemiAridZone,Luvisols,Tarkastad,Nama-Karoo
Victoria_West,0,Low,-31.402023,23.115606,1279,253.33,28,19,13.5,1,2600,AridZone,Luvisols,Adelaide,Nama-Karoo
Vosburg,6.367697007,Low,-30.57342343,22.87883457,1129,241.0671667,30,21,15,1,2600,AridZone,Leptosols,Ecca,Nama-Karoo
Wegdraai,0,Low,-28.837989,21.864503,863,189.7036757,32,23,17.5,1,2600,AridZone,Cambisols,Waterberg,Nama-Karoo
Wepener,0,Low,-29.727817,27.037943,1429,587,28,21,13.5,-1,1600,SemiAridZone,Luvisols,Tarkastad,Grassland
Williston,0,Low,-31.340554,20.914623,1066,180,28,21,13.5,1,2600,AridZone,Leptosols,Ecca,Nama-Karoo
Willowmore,7.537065613,Low,-33.29621378,23.48431281,833,274.1711034,28,19,13.5,3,1800,AridZone,Cambisols,Bokkeveld,Succulent
Winburg,4.670217109,Low,-28.514988,27.01226,1441,537.6091429,28,21,13.5,1,1800,SemiAridZone,Leptosols,Adelaide,Grassland
Zastron,0,Low,-30.3008333,27.085,1665,693.7393143,26,19,13.5,-1,1600,SemiAridZone,Solonetz,ClarensEl,Grassland
